,S&P500 ,S&P500 월간수익률,미국채10년 변화율,S&P500 VIX 변화율,신용거래 변화율,MOVE Index 변화율,실업률 변화율,기대인플레이션 10년 변화율,금가격 변화율
2007-07-31,1455.28 ,-3.20%,-0.28 ,44.92%,1.95%,24.39%,0.10,0.01 ,2.26%
2007-06-29,1503.35 ,-1.78%,0.14 ,24.37%,6.84%,31.58%,0.20,0.00 ,-1.64%
2007-05-31,1530.62 ,3.25%,0.26 ,-8.23%,11.76%,-1.51%,-0.10,-0.05 ,-2.65%
2007-04-30,1482.37 ,4.33%,-0.02 ,-2.87%,7.66%,-11.93%,0.10,-0.01 ,2.21%
2007-03-30,1420.86 ,1.00%,0.08 ,-5.06%,-1.07%,-2.72%,-0.10,0.06 ,-0.83%
2007-02-28,1406.82 ,-2.18%,-0.30 ,47.98%,3.10%,13.31%,-0.10,-0.05 ,2.47%
2007-01-30,1438.24 ,1.41%,0.17 ,-9.86%,2.71%,-7.78%,0.20,0.13 ,2.59%
2006-12-29,1418.30 ,1.26%,0.24 ,5.96%,2.84%,-2.48%,-0.10,-0.01 ,-1.74%
2006-11-30,1400.63 ,1.65%,-0.14 ,-1.71%,10.16%,12.48%,0.10,0.04 ,6.82%
2006-10-31,1377.94 ,3.15%,-0.03 ,-7.35%,2.27%,-3.49%,-0.10,-0.09 ,1.39%
2006-09-29,1335.85 ,2.46%,-0.10 ,-2.68%,4.97%,5.52%,-0.20,-0.13 ,-4.62%
2006-08-31,1303.82 ,2.13%,-0.25 ,-17.66%,-2.60%,-5.68%,0.00,-0.09 ,-1.48%
2006-07-31,1276.66 ,0.51%,-0.16 ,14.30%,1.80%,-3.21%,0.10,-0.03 ,3.39%
2006-06-30,1270.20 ,0.01%,0.02 ,-20.44%,-1.61%,-2.38%,0.00,-0.06 ,-4.55%
2006-05-31,1270.09 ,-3.09%,0.06 ,41.85%,-3.60%,6.51%,-0.10,-0.01 ,-1.41%
2006-04-28,1310.61 ,1.22%,0.21 ,1.76%,2.23%,-8.16%,0.00,0.16 ,12.13%
2006-03-31,1294.83 ,1.11%,0.30 ,-7.70%,3.91%,20.65%,-0.10,-0.04 ,3.94%
