날짜,S&P500 Growth,S&P500 Value,S&P500 Momentum,S&P500 Quality,S&P500 Low Volatiltiy Index,S&P500 Div Aristocrt TR Index
2005-07-29,591.90802,637.8739,104.688,151.649,3462.58,672.15997
2005-06-30,567.71588,619.5553,100.243,145.907,3388.97,649.08002
2005-05-31,575.7431,611.30737,98.234,147.109,3397.36,655.47998
2005-04-29,558.88287,593.65002,95.354,142.384,3355.07,643
2005-03-31,569.04742,607.20178,99.216,145.856,3363.82,655.40002
2005-02-28,579.98761,619.17023,100.516,148.018,3388.61,658.12
2005-01-31,567.52753,609.49597,94.467,142.286,3370.39,648.62
2004-12-31,582.04077,625.5351,96.165,144.762,3426.87,657.85999
2004-11-30,562.73932,606.77252,94.606,138.107,3344.08,635.84998
2004-10-29,546.28717,579.74707,88.848,132.183,3243.41,614.94
2004-09-30,538.29309,572.1925,87.343,130.695,3187.99,604.40997
2004-08-31,537.81848,562.34662,82.844,130.517,3181.56,599.76001
2004-07-30,540.25769,557.39917,85.601,129.883,3110.98,590.13
2004-06-30,567.36432,569.25348,92.607,136.264,3163.05,606.15002
2004-05-31,558.6192,557.93958,90.163,133.194,3130.95,597.28003
2004-04-30,550.55713,552.63739,86.495,132.773,3079.77,588.02002
2004-03-31,554.29321,567.60101,91.243,131.862,3119.22,588.81
2004-02-27,568.29022,572.35168,89.848,133.911,3112.07,594.84003
2004-01-30,566.22913,560.73749,89.299,132.034,3029.85,576.90997
2003-12-31,555.88568,551.92603,86.867,130.868,2996.12,569.77002
2003-11-28,533.82373,520.62347,82.842,123.765,2871.68,545.56
2003-10-31,529.90808,517.06781,81.888,120.842,2847.17,536.76001
2003-09-30,507.68909,484.92029,77.141,115.477,2722.7,506.25
2003-08-29,509.95871,494.5127,78.588,115.602,2703.92,514.52002
2003-07-31,501.8392,485.0163,78.336,114.709,2683.37,505.48999
2003-06-30,495.70081,475.4682,77.693,114.231,2678.75,495.42999
2003-05-30,487.53091,472.67819,76.644,112.81,2702.16,492.14999
