,S&P500,,,S&P500 Growth,,,S&P500 Value,,,S&P500 Momentum,,,S&P500 Quality,,,S&P500 Low Volatiltiy Index,,,S&P500 Div Aristocrt TR Index
티커,SPX Index,,,SGX Index,,,SVX Index,,,SP500MUN Index,,,SPXQUN Index,,,SP5LVI Index,,,SPDAUDT Index
,,,,,,,,,,,,,,,,,,,
Date,현재가,,Date,현재가,,Date,현재가,,Date,현재가,,Date,현재가,,Date,현재가,,Date,현재가
2014-12-31,2058.9,,2014-12-31,1121.62,,2014-12-31,927.96997,,2014-12-31,204.637,,2014-12-31,376.443,,2014-12-31,6099.63,,2014-12-31,1793.55005
2014-11-28,2067.56,,2014-11-28,1134.04004,,2014-11-28,924.77002,,2014-11-28,207.183,,2014-11-28,375.612,,2014-11-28,6044,,2014-11-28,1790.80005
2014-10-31,2018.05,,2014-10-31,1102.83997,,2014-10-31,906.41998,,2014-10-31,201.852,,2014-10-31,362.661,,2014-10-31,5890.65,,2014-10-31,1723.43994
2014-09-30,1972.29,,2014-09-30,1072.23206,,2014-09-30,891.10999,,2014-09-30,199.719,,2014-09-30,350.489,,2014-09-30,5621.38,,2014-09-30,1650.35999
2014-08-29,2003.37,,2014-08-29,1085.31006,,2014-08-29,908.71997,,2014-08-29,199.519,,2014-08-29,356.068,,2014-08-29,5684.93,,2014-08-29,1652.42004
2014-07-31,1930.67,,2014-07-31,1042.17004,,2014-07-31,879.22998,,2014-07-31,191.845,,2014-07-31,340.009,,2014-07-31,5492.15,,2014-07-31,1588.68994
2014-06-30,1960.23,,2014-06-30,1056.20996,,2014-06-30,894.46997,,2014-06-30,192.769,,2014-06-30,343.889,,2014-06-30,5718.04,,2014-06-30,1632.53003
2014-05-30,1923.57,,2014-05-30,1036.12,,2014-05-30,878.04999,,2014-05-30,189.89,,2014-05-30,339.092,,2014-05-30,5611.38,,2014-05-30,1609.58997
2014-04-30,1883.95,,2014-04-30,1004.47998,,2014-04-30,869.48999,,2014-04-30,182.63,,2014-04-30,333.021,,2014-04-30,5569.95,,2014-04-30,1583.66003
2014-03-31,1872.34,,2014-03-31,1002.33002,,2014-03-31,860.39001,,2014-03-31,184.841,,2014-03-31,331.363,,2014-03-31,5468.8,,2014-03-31,1564.78003
2014-02-28,1859.45,,2014-02-28,1010.95001,,2014-02-28,840.16998,,2014-02-28,186.477,,2014-02-28,330.621,,2014-02-28,5371.08,,2014-02-28,1548.64001
2014-01-31,1782.59,,2014-01-31,962.58752,,2014-01-31,811.48828,,2014-01-31,178.581,,2014-01-31,315.203,,2014-01-31,5192.16,,2014-01-31,1478.19995
2013-12-31,1848.36,,2013-12-31,992.47198,,2013-12-31,846.60168,,2013-12-31,184.689,,2013-12-31,329.395,,2013-12-31,5332.49,,2013-12-31,1549.38
